t_idx,yaw,orientation,wind_dir,time
630,0,0.0,225.0,225.0,280.0
631,1,0.0,225.0,225.0,280.0
632,2,0.0,225.0,225.0,280.0
633,3,0.0,225.0,225.0,280.0
634,4,0.0,225.0,225.0,280.0
635,5,0.0,225.0,225.0,280.0
636,6,0.0,225.0,225.0,280.0
637,7,0.0,225.0,225.0,280.0
638,8,0.0,225.0,225.0,280.0
639,0,0.0,225.0,225.0,284.0
640,1,0.0,225.0,225.0,284.0
641,2,0.0,225.0,225.0,284.0
642,3,0.0,225.0,225.0,284.0
643,4,0.0,225.0,225.0,284.0
644,5,0.0,225.0,225.0,284.0
645,6,0.0,225.0,225.0,284.0
646,7,0.0,225.0,225.0,284.0
647,8,0.0,225.0,225.0,284.0
648,0,0.0,225.0,225.0,288.0
649,1,0.0,225.0,225.0,288.0
650,2,0.0,225.0,225.0,288.0
651,3,0.0,225.0,225.0,288.0
652,4,0.0,225.0,225.0,288.0
653,5,0.0,225.0,225.0,288.0
654,6,0.0,225.0,225.0,288.0
655,7,0.0,225.0,225.0,288.0
656,8,0.0,225.0,225.0,288.0
657,0,0.0,225.0,225.0,292.0
658,1,0.0,225.0,225.0,292.0
659,2,0.0,225.0,225.0,292.0
660,3,0.0,225.0,225.0,292.0
661,4,0.0,225.0,225.0,292.0
662,5,0.0,225.0,225.0,292.0
663,6,0.0,225.0,225.0,292.0
664,7,0.0,225.0,225.0,292.0
665,8,0.0,225.0,225.0,292.0
666,0,0.0,225.0,225.0,296.0
667,1,0.0,225.0,225.0,296.0
668,2,0.0,225.0,225.0,296.0
669,3,0.0,225.0,225.0,296.0
670,4,0.0,225.0,225.0,296.0
671,5,0.0,225.0,225.0,296.0
672,6,0.0,225.0,225.0,296.0
673,7,0.0,225.0,225.0,296.0
674,8,0.0,225.0,225.0,296.0
675,0,0.0,225.0,225.0,300.0
676,1,0.0,225.0,225.0,300.0
677,2,0.0,225.0,225.0,300.0
678,3,0.0,225.0,225.0,300.0
679,4,0.0,225.0,225.0,300.0
680,5,0.0,225.0,225.0,300.0
681,6,0.0,225.0,225.0,300.0
682,7,0.0,225.0,225.0,300.0
683,8,0.0,225.0,225.0,300.0
684,0,0.0,225.0,225.0,304.0
685,1,0.0,225.0,225.0,304.0
686,2,0.0,225.0,225.0,304.0
687,3,0.0,225.0,225.0,304.0
688,4,0.0,225.0,225.0,304.0
689,5,0.0,225.0,225.0,304.0
690,6,0.0,225.0,225.0,304.0
691,7,0.0,225.0,225.0,304.0
692,8,0.0,225.0,225.0,304.0
